ZDB-FISH-060608-1,t30230,;Adult: behavior (abnormal); drug resistance (abnormal); ,,"Assay: Amphetamine<br>Description: <br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-960805-39"">Laure Bally-Cuif</a> / <a href=""ZFIN_jump?record=ZDB-PERS-020116-15"">Jovica Ninkovic</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-150,t30733,;Adult: cranial skeleton pattern (abnormal); ,coordinated skull shape <b>Details:</b>,"Assay: Dermal Bone<br>Description: coordinated skull shape<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030612-10"">Matthew Harris</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-151,t30724,;Adult: cranial skeleton pattern (abnormal); ,cranial pattern coordinated shape change. Possible dominant. <b>Details:</b>,"Assay: Dermal Bone<br>Description: cranial pattern coordinated shape change. Possible dominant.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030612-10"">Matthew Harris</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-152,t30779,;Adult: cranial skeleton shape (abnormal); ,cranial shape change. <b>Details:</b>,"Assay: Dermal Bone<br>Description: cranial shape change.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030612-10"">Matthew Harris</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-153,t30625,;Adult: cranial skeleton shape (abnormal); ,cranial shape. <b>Details:</b>,"Assay: Dermal Bone<br>Description: cranial shape.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030612-10"">Matthew Harris</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-154,t30538,;Adult: cranial skeleton small size (abnormal); ,cranial shape. Jaw: maxillae and palatine small and different shaped. <b>Details:</b>,"Assay: Dermal Bone<br>Description: cranial shape. Jaw: maxillae and palatine small and different shaped.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030612-10"">Matthew Harris</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-155,t30726,;Adult: cranial skeleton shape (abnormal); ,cranial. Frontal bone shortened. <b>Details:</b>,"Assay: Dermal Bone<br>Description: cranial. Frontal bone shortened.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030612-10"">Matthew Harris</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-156,t30751,;Adult: cranial skeleton pattern (abnormal); ,cranial; retention of the larval shape <b>Details:</b>,"Assay: Dermal Bone<br>Description: cranial; retention of the larval shape<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030612-10"">Matthew Harris</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-157,t30735,;Adult: cranial skeleton pattern (abnormal); ,craniofacial posthindbrain/parietal. <b>Details:</b>,"Assay: Dermal Bone<br>Description: craniofacial posthindbrain/parietal.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030612-10"">Matthew Harris</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-158,t30778,;Adult: cranial skeleton shape (abnormal); ,craniofacial shape change mutant. <b>Details:</b>,"Assay: Dermal Bone<br>Description: craniofacial shape change mutant.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030612-10"">Matthew Harris</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-159,t30837,;Adult: cranial skeleton pattern (abnormal); ,"Craniofacial: calvaria not formed\"";"" inefficient growth; branchial series very odd\"";"" inefficient growth\"";"" but many more rudimentary bones. Found 1/12\"";"" but phenotype likely lethal. <b>Details:</b>","Assay: Dermal Bone<br>Description: Craniofacial: calvaria not formed\"";"" inefficient growth; branchial series very odd\"";"" inefficient growth\"";"" but many more rudimentary bones. Found 1/12\"";"" but phenotype likely lethal.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030612-10"">Matthew Harris</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-16,t30841,;heart development (abnormal); Long-pec: heart tube placement (abnormal); ,,"Assay: heart morphology<br>Description: <br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-980519-6"">Jeroen Bakkers</a> / Manon Verhoeven\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-160,t30628,;Adult: cranial skeleton pattern (abnormal); ,"Craniosyntosis. One extreme\"";"" two mild. <b>Details:</b>","Assay: Dermal Bone<br>Description: Craniosyntosis. One extreme\"";"" two mild.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030612-10"">Matthew Harris</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-161,t30447,;Adult: whole organism bent (abnormal); ,"Crooked fish\"";"" zig-zag shape <b>Details:</b>","Assay: Gonads<br>Description: Crooked fish\"";"" zig-zag shape<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030612-11"">Kellee Siegfried</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-162,t30375,;cell migration (abnormal); Day 4: macrophages increased number (abnormal); ,"Curly embryos\"";"" small head but plenty of big macrophages all along the brain (not really differentiated) <b>Details:</b>","Assay: Macrophage migration<br>Description: Curly embryos\"";"" small head but plenty of big macrophages all along the brain (not really differentiated)<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-020719-19"">Francesca Peri</a> / <a href=""ZFIN_jump?record=ZDB-PERS-031117-4"">Muriel Tauzin</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-163,t30347,;Day 5: larva curved (abnormal); ,Curly larvae. <b>Details:</b>,"Assay: Skin 1<br>Description: Curly larvae.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-001110-15"">Mahendra Sonawane</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-164,t30836,;Day 5: pigment cells colorless (abnormal); ,d2: body unpigmented. d3-5: melanophores and iridophores weakly differentiated and possibly reduced in number. Eye normally pigmented. SWB+;  may be viable. <b>Details:</b>,"Assay: Skin 1<br>Description: d2: body unpigmented. d3-5: melanophores and iridophores weakly differentiated and possibly reduced in number. Eye normally pigmented. SWB+;  may be viable.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-001110-15"">Mahendra Sonawane</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-165,t30828,;High-pec: fins small size (abnormal); ,d2: Head to body angle approx. 45 degrees. Fin folds and pec fins not growing normally. <b>Details:</b>,"Assay: Skin 1<br>Description: d2: Head to body angle approx. 45 degrees. Fin folds and pec fins not growing normally.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-001110-15"">Mahendra Sonawane</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-166,t30211,;muscle cell differentiation (abnormal); Protruding-mouth: somite border cell decreased number (abnormal); ,"d2: tail bent\"";"" dark head\"";"" region over hindbrain diluted; d3: satellite cells not present <b>Details:</b>","Assay: Satellite cells<br>Description: d2: tail bent\"";"" dark head\"";"" region over hindbrain diluted; d3: satellite cells not present<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030918-34"">Sascha Dembski</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-167,t30294,;muscle cell differentiation (abnormal); Protruding-mouth: somite border cell irregular (abnormal); ,"d2: very small larvae\"";"" tail short; satellite cells absent\"";"" very strong degenerative phenotype <b>Details:</b>","Assay: Satellite cells<br>Description: d2: very small larvae\"";"" tail short; satellite cells absent\"";"" very strong degenerative phenotype<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030918-34"">Sascha Dembski</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-168,t30614,;muscle cell differentiation (abnormal); Protruding-mouth: somite border cell decreased number (abnormal); ,d3: No pax7 expression; tail up; smaller <b>Details:</b>,"Assay: Satellite cells<br>Description: d3: No pax7 expression; tail up; smaller<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030918-34"">Sascha Dembski</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-169,t30573,;muscle cell differentiation (abnormal); Protruding-mouth: somite border cell decreased number (abnormal); ,d3: pax7 absent in satellite cells; brain and xanthophores normal; tail bent <b>Details:</b>,"Assay: Satellite cells<br>Description: d3: pax7 absent in satellite cells; brain and xanthophores normal; tail bent<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030918-34"">Sascha Dembski</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-17,t30843,;heart development (abnormal); Long-pec: heart tube placement (abnormal); ,,"Assay: heart morphology<br>Description: <br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-980519-6"">Jeroen Bakkers</a> / Manon Verhoeven\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-170,t30189,;Day 5: eye structure (abnormal); visual behavior (abnormal); ,"dark fish\"";"" white lens\"";"" deformed eyes <b>Details:</b>","Assay: Eye move<br>Description: dark fish\"";"" white lens\"";"" deformed eyes<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-060328-1"">Valerie Fleisch</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-171,t30846,;astrocyte activation (abnormal); Day 4: brain pattern (abnormal); ,"Decreased gfap signal in 5 embryos\"";"" compared to about 20 controls. Normal insulin expression. <b>Details:</b>","Assay: Astroglia<br>Description: Decreased gfap signal in 5 embryos\"";"" compared to about 20 controls. Normal insulin expression.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-960805-34"">Francesco Argenton</a> / <a href=""ZFIN_jump?record=ZDB-PERS-020116-8"">Natascia Tiso</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-172,t30782,;cell migration (abnormal); Day 4: macrophages increased number (abnormal); ,"Degeneration of the brain\"";"" and many big microglia inside. <b>Details:</b>","Assay: Macrophage migration<br>Description: Degeneration of the brain\"";"" and many big microglia inside.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-020719-19"">Francesca Peri</a> / <a href=""ZFIN_jump?record=ZDB-PERS-031117-4"">Muriel Tauzin</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-173,t30835,;High-pec: epidermis structure (abnormal); ,Detachment of the epidermis over head. <b>Details:</b>,"Assay: Skin 1<br>Description: Detachment of the epidermis over head.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-001110-15"">Mahendra Sonawane</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-174,t30261,;cell migration (abnormal); Day 4: macrophages irregular (abnormal); ,Different pattern <b>Details:</b>,"Assay: Macrophage migration<br>Description: Different pattern<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-020719-19"">Francesca Peri</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-175,t30264,;cell migration (abnormal); Day 4: macrophages increased number (abnormal); ,Different pattern. More at the borders <b>Details:</b>,"Assay: Macrophage migration<br>Description: Different pattern. More at the borders<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-020719-19"">Francesca Peri</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-176,t30412,;heart development (abnormal); Prim-5: heart tube shape (abnormal); ,"dilated heart with enlarged both chambers (atrium and ventricle) and moderate hypertrophic walls\"";"" pericardial edema\"";"" no peripheral circulation\"";"" stenotic bulbus arteriosus and sinus venosus\"";"" small eyes\"";"" ventral curved body form <b>Details:</b>","Assay: Heart development<br>Description: dilated heart with enlarged both chambers (atrium and ventricle) and moderate hypertrophic walls\"";"" pericardial edema\"";"" no peripheral circulation\"";"" stenotic bulbus arteriosus and sinus venosus\"";"" small eyes\"";"" ventral curved body form<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-960805-14"">Salim Abdelilah-Seyfried</a> / Nana Bit-Avragim\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-177,t30859,;Protruding-mouth: brain pattern (abnormal); brain development (abnormal); ,dispersed arcuate nuclei close to anterior pituitary <b>Details:</b>,"Assay: Pituitary screen<br>Description: dispersed arcuate nuclei close to anterior pituitary<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-960805-226"">Matthias Hammerschmidt</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-178,t30499,;heart development (abnormal); Prim-5: heart tube shape (abnormal); ,"disrupted eye structure\"";"" pericardial edema\"";"" hypertrophic atrium and small\"";"" hypertrophic ventricle\"";"" weak peripheral circulation\"";"" fan-shaped tail tip <b>Details:</b>","Assay: Heart development<br>Description: disrupted eye structure\"";"" pericardial edema\"";"" hypertrophic atrium and small\"";"" hypertrophic ventricle\"";"" weak peripheral circulation\"";"" fan-shaped tail tip<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-960805-14"">Salim Abdelilah-Seyfried</a> / Nana Bit-Avragim\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-179,t30865,;Adult: fins large size (abnormal); ,"dominant dorsal fin length -- loss of size control. Like sgl\"";"" previously found mutant <b>Details:</b>","Assay: Dermal Bone<br>Description: dominant dorsal fin length -- loss of size control. Like sgl\"";"" previously found mutant<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030612-10"">Matthew Harris</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-18,t30872,;heart development (abnormal); Long-pec: heart tube placement (abnormal); ,,"Assay: heart morphology<br>Description: <br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-980519-6"">Jeroen Bakkers</a> / Manon Verhoeven\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-180,t30396,;dopamine metabolism (abnormal); Protruding-mouth: dopaminergic neuron (absent); ,Dopaminergic amacrine cells in retina absent <b>Details:</b>,"Assay: TH WISH<br>Description: Dopaminergic amacrine cells in retina absent<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-960805-638"">Wolfgang Driever</a> / <a href=""ZFIN_jump?record=ZDB-PERS-050428-23"">Heiko Loehr</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-181,t30580,;dopamine metabolism (abnormal); Protruding-mouth: dopaminergic neuron decreased number (abnormal); ,Dopaminergic cells in ventral diencephalon  and pretectum reduced <b>Details:</b>,"Assay: TH WISH<br>Description: Dopaminergic cells in ventral diencephalon  and pretectum reduced<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-960805-638"">Wolfgang Driever</a> / <a href=""ZFIN_jump?record=ZDB-PERS-050428-23"">Heiko Loehr</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-182,t30163,;Protruding-mouth: diencephalon pattern (abnormal); dopamine metabolism (abnormal); ,Dopaminergic cells in ventral diencephalon disorganized <b>Details:</b>,"Assay: TH WISH<br>Description: Dopaminergic cells in ventral diencephalon disorganized<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-960805-638"">Wolfgang Driever</a> / <a href=""ZFIN_jump?record=ZDB-PERS-050428-23"">Heiko Loehr</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
